# Class red_S1 blue_S1 green_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 edev_S1 sdev_S1 bcdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 red_S2 blue_S2 green_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 edev_S2 sdev_S2 bcdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 red_S3 blue_S3 green_S3 nir_S3 swir_1_S3 swir_2_S3 red_edge_1_S3 red_edge_2_S3 red_edge_3_S3 edev_S3 sdev_S3 bcdev_S3 NDVI_S3 LAI_S3 MNDWI_S3 rain_S3 slope
1.000000 0.067716 0.037900 0.065500 0.240808 0.259941 0.168383 0.111523 0.200546 0.229230 2.861212 5.112468 2.858637 0.561030 1.030768 -0.597471 397.688019 0.052717 0.041064 0.069893 0.299339 0.227690 0.126484 0.112024 0.248425 0.285695 2.761217 5.681507 2.865266 0.700517 1.587861 -0.530262 525.172668 0.048266 0.037620 0.076141 0.353352 0.230609 0.121448 0.123853 0.295569 0.340056 2.781201 6.565632 3.041649 0.759641 1.909849 -0.503564 922.121277 32.086040
1.000000 0.088501 0.055547 0.080141 0.195760 0.272228 0.194524 0.122294 0.164910 0.183493 2.430140 5.325115 2.544065 0.349207 0.585372 -0.542320 290.402100 0.058309 0.045796 0.078083 0.308287 0.216696 0.122836 0.119945 0.260609 0.299420 2.350144 4.766285 2.518977 0.681891 1.626929 -0.470225 519.824768 0.093396 0.060984 0.092972 0.260656 0.288495 0.191852 0.145486 0.225882 0.250910 3.330724 6.346123 3.490656 0.472418 0.991427 -0.516094 806.391785 1.317616
1.000000 0.033447 0.026817 0.061857 0.373155 0.201325 0.099511 0.116976 0.295256 0.355134 2.975311 6.925387 3.262530 0.837475 2.115762 -0.529928 381.783539 0.056987 0.042422 0.060639 0.231806 0.214793 0.130426 0.104881 0.222868 0.264350 2.670080 5.464439 2.739599 0.605343 1.121930 -0.558128 721.089539 0.056565 0.039806 0.064515 0.309550 0.239052 0.143926 0.113930 0.257569 0.310586 2.522362 5.991076 2.770651 0.691000 1.560545 -0.578219 964.670227 4.487638
1.000000 0.047011 0.031763 0.057255 0.284268 0.211610 0.117731 0.109172 0.252889 0.296776 3.346008 6.599463 3.475488 0.717507 1.492954 -0.579983 387.000671 0.044215 0.036303 0.064381 0.321239 0.201664 0.109445 0.112390 0.281517 0.331803 2.998698 6.507597 3.185222 0.762125 1.797584 -0.519837 714.936096 0.038172 0.028779 0.058430 0.338885 0.199504 0.104173 0.108670 0.283608 0.334426 2.936176 6.687160 3.167476 0.800535 1.903242 -0.545484 963.615967 3.450009
1.000000 0.111292 0.062990 0.108144 0.345040 0.307815 0.201178 0.170667 0.294850 0.330032 2.676784 5.982402 3.120559 0.512231 1.254557 -0.480026 451.213135 0.099782 0.073100 0.115651 0.372788 0.274518 0.166901 0.168571 0.334132 0.381168 2.730717 6.064634 3.063620 0.577705 1.617029 -0.407175 670.568237 0.098346 0.064533 0.110035 0.376468 0.294279 0.177305 0.169226 0.329584 0.376428 2.801401 7.077379 3.227486 0.585750 1.578817 -0.455697 1161.773804 3.584302
1.000000 0.031637 0.026712 0.064130 0.413870 0.192288 0.087255 0.118428 0.333129 0.402674 3.495126 7.995144 3.796759 0.857975 2.345601 -0.499800 361.944550 0.031666 0.030494 0.065699 0.401035 0.187518 0.089589 0.115041 0.312363 0.384334 2.854419 6.663577 3.131232 0.853637 2.334392 -0.481085 799.635071 0.036256 0.032778 0.068666 0.375220 0.198274 0.099689 0.121479 0.301221 0.356589 2.776529 6.433214 2.987567 0.823778 2.158265 -0.485531 1011.222412 6.373775
1.000000 0.076924 0.045468 0.078157 0.287632 0.234045 0.154764 0.127886 0.235510 0.271189 2.061121 4.403241 2.225438 0.577987 1.235437 -0.499320 451.168823 0.064213 0.056657 0.083751 0.352104 0.183636 0.103791 0.112024 0.282395 0.352373 2.093655 4.655939 2.248766 0.691518 1.866044 -0.373558 660.387390 0.045214 0.031174 0.059252 0.321888 0.200375 0.116601 0.098925 0.253891 0.310136 2.274393 5.033781 2.509027 0.753673 1.722949 -0.543562 1160.005859 7.120003
1.000000 0.040622 0.029502 0.063653 0.356226 0.210910 0.111146 0.117565 0.284660 0.336197 3.566268 7.301515 3.785629 0.795237 1.952635 -0.536322 362.046143 0.033895 0.030637 0.065441 0.358499 0.185754 0.087142 0.114052 0.307007 0.367307 2.967293 7.702625 3.238209 0.826664 2.085237 -0.478962 799.013794 0.038533 0.034652 0.074474 0.387276 0.197466 0.094626 0.128110 0.324230 0.379256 2.876309 7.166917 3.051336 0.818494 2.203244 -0.452162 1011.763428 12.090515
1.000000 0.043007 0.029162 0.063807 0.351970 0.207396 0.106432 0.124125 0.297557 0.346361 3.632375 7.657449 3.867642 0.777972 1.881836 -0.531093 384.729889 0.038600 0.034163 0.069188 0.376003 0.189929 0.091639 0.122061 0.312108 0.369030 3.360081 7.667543 3.622250 0.814722 2.145631 -0.465973 716.453613 0.043666 0.039989 0.075058 0.395001 0.206119 0.103772 0.130406 0.324569 0.388233 2.935531 6.821560 3.079152 0.800916 2.208340 -0.465969 967.140564 1.863390
1.000000 0.035664 0.029911 0.069827 0.407782 0.198141 0.089228 0.133609 0.343025 0.404717 3.519273 7.621105 3.859688 0.839148 2.290547 -0.478840 362.300385 0.032137 0.030702 0.075717 0.409265 0.184687 0.078916 0.136017 0.352582 0.412845 3.492008 8.478790 3.899936 0.854386 2.368552 -0.418475 794.950562 0.037217 0.034595 0.070084 0.361776 0.200051 0.097364 0.128649 0.307869 0.361737 2.322666 6.784423 2.642578 0.813445 2.096527 -0.481156 1009.299438 8.811974
