# Class red_S1 blue_S1 green_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 NDVI_S1 LAI_S1 rain_S1 red_S2 blue_S2 green_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 NDVI_S2 LAI_S2 rain_S2 red_S3 blue_S3 green_S3 nir_S3 swir_1_S3 swir_2_S3 red_edge_1_S3 red_edge_2_S3 red_edge_3_S3 NDVI_S3 LAI_S3 rain_S3 slope
1.000000 0.068944 0.036949 0.061565 0.265048 0.275375 0.182453 0.123150 0.216572 0.253777 0.578962 1.152687 398.632629 0.050639 0.035288 0.061774 0.295066 0.222580 0.132324 0.110339 0.239228 0.285784 0.699810 1.541843 527.147095 0.047624 0.034391 0.074861 0.375505 0.223398 0.122386 0.129635 0.314491 0.369263 0.774846 1.990010 925.279602 32.609867
1.000000 0.093085 0.053034 0.083335 0.230192 0.281807 0.210612 0.140888 0.207460 0.232005 0.429798 0.792412 332.319946 0.095075 0.055930 0.082940 0.236500 0.296135 0.228123 0.136801 0.211702 0.238835 0.420634 0.786322 448.442871 0.139368 0.071565 0.103622 0.229952 0.361128 0.308650 0.171993 0.217278 0.239497 0.250663 0.438243 804.632080 5.034603
1.000000 0.076924 0.045468 0.078157 0.287632 0.234045 0.154764 0.127886 0.235510 0.271189 0.577987 1.235437 451.168823 0.064213 0.056657 0.083751 0.352104 0.183636 0.103791 0.112024 0.282395 0.352373 0.691518 1.866044 660.387390 0.045214 0.031174 0.059252 0.321888 0.200375 0.116601 0.098925 0.253891 0.310136 0.753673 1.722949 1160.005859 7.120003
1.000000 0.145996 0.070067 0.106304 0.278594 0.363911 0.273254 0.182670 0.247942 0.274821 0.312295 0.618213 331.663879 0.128193 0.065204 0.097183 0.290407 0.381036 0.299962 0.174552 0.257225 0.283238 0.387515 0.816219 397.080597 0.138259 0.072009 0.105703 0.302630 0.388536 0.306256 0.183878 0.262390 0.291179 0.372818 0.815812 638.909607 6.588078
1.000000 0.054590 0.035132 0.059597 0.266141 0.231633 0.145815 0.108826 0.225390 0.266117 0.659538 1.320549 395.540802 0.048179 0.036021 0.061535 0.289068 0.209779 0.120999 0.110712 0.250965 0.294837 0.714277 1.547878 521.405640 0.050489 0.039046 0.075372 0.381247 0.216659 0.117186 0.134523 0.329818 0.388137 0.766092 2.032184 915.980042 25.310572
1.000000 0.111292 0.062990 0.108144 0.345040 0.307815 0.201178 0.170667 0.294850 0.330032 0.512231 1.254557 451.213135 0.099782 0.073100 0.115651 0.372788 0.274518 0.166901 0.168571 0.334132 0.381168 0.577705 1.617029 670.568237 0.098346 0.064533 0.110035 0.376468 0.294279 0.177305 0.169226 0.329584 0.376428 0.585750 1.578817 1161.773804 3.584302
1.000000 0.067716 0.037900 0.065500 0.240808 0.259941 0.168383 0.111523 0.200546 0.229230 0.561030 1.030768 397.688019 0.052717 0.041064 0.069893 0.299339 0.227690 0.126484 0.112024 0.248425 0.285695 0.700517 1.587861 525.172668 0.048266 0.037620 0.076141 0.353352 0.230609 0.121448 0.123853 0.295569 0.340056 0.759641 1.909849 922.121277 32.086040
1.000000 0.033447 0.026817 0.061857 0.373155 0.201325 0.099511 0.116976 0.295256 0.355134 0.837475 2.115762 381.783539 0.056987 0.042422 0.060639 0.231806 0.214793 0.130426 0.104881 0.222868 0.264350 0.605343 1.121930 721.089539 0.056565 0.039806 0.064515 0.309550 0.239052 0.143926 0.113930 0.257569 0.310586 0.691000 1.560545 964.670227 4.487638
1.000000 0.047011 0.031763 0.057255 0.284268 0.211610 0.117731 0.109172 0.252889 0.296776 0.717507 1.492954 387.000671 0.044215 0.036303 0.064381 0.321239 0.201664 0.109445 0.112390 0.281517 0.331803 0.762125 1.797584 714.936096 0.038172 0.028779 0.058430 0.338885 0.199504 0.104173 0.108670 0.283608 0.334426 0.800535 1.903242 963.615967 3.450009
1.000000 0.133253 0.069428 0.101544 0.262794 0.415561 0.341515 0.181346 0.234092 0.259240 0.332696 0.677785 331.304199 0.143816 0.076715 0.105819 0.252510 0.454473 0.393011 0.181913 0.216300 0.243540 0.263679 0.493120 417.690826 0.144101 0.073051 0.105066 0.279156 0.453581 0.386991 0.186683 0.248275 0.274451 0.326265 0.665284 807.200928 7.071068
